Embarked_S,FamilySize,Sex_male,Title_Mrs,FareCategory_Medium,Fare,Cabin_G,FareCategory_High,Cabin_T,Cabin_B,Cabin_E,Cabin_F,Cabin_C,Parch,FareCategory_Low,Survived,Title_Miss,SibSp,Title_Mr,Sex_female,Embarked_Q,Age,Embarked_C,Title_Master,Cabin_A,Cabin_Unknown,Pclass,Title_Others,Cabin_D
True,2,True,False,False,7.25,False,False,False,False,False,False,False,0,True,0,False,1,True,False,False,22.0,False,False,False,True,3,False,False
False,2,False,True,False,71.2833,False,True,False,False,False,False,True,0,False,1,False,1,False,True,False,38.0,True,False,False,False,1,False,False
True,1,False,False,False,7.925,False,False,False,False,False,False,False,0,True,1,True,0,False,True,False,26.0,False,False,False,True,3,False,False
True,2,False,True,False,53.1,False,True,False,False,False,False,True,0,False,1,False,1,False,True,False,35.0,False,False,False,False,1,False,False
True,1,True,False,False,8.05,False,False,False,False,False,False,False,0,True,0,False,0,True,False,False,35.0,False,False,False,True,3,False,False
False,1,True,False,False,8.4583,False,False,False,False,False,False,False,0,True,0,False,0,True,False,True,28.0,False,False,False,True,3,False,False
True,1,True,False,False,51.8625,False,True,False,False,True,False,False,0,False,0,False,0,True,False,False,54.0,False,False,False,False,1,False,False
True,5,True,False,True,21.075,False,False,False,False,False,False,False,1,False,0,False,3,False,False,False,2.0,False,True,False,True,3,False,False
True,3,False,True,True,11.1333,False,False,False,False,False,False,False,2,False,1,False,0,False,True,False,27.0,False,False,False,True,3,False,False
False,2,False,True,False,30.0708,False,True,False,False,False,False,False,0,False,1,False,1,False,True,False,14.0,True,False,False,True,2,False,False
True,3,False,False,True,16.7,True,False,False,False,False,False,False,1,False,1,True,1,False,True,False,4.0,False,False,False,False,3,False,False
True,1,False,False,False,26.55,False,True,False,False,False,False,True,0,False,1,True,0,False,True,False,58.0,False,False,False,False,1,False,False
True,1,True,False,False,8.05,False,False,False,False,False,False,False,0,True,0,False,0,True,False,False,20.0,False,False,False,True,3,False,False
True,7,True,False,False,31.275,False,True,False,False,False,False,False,5,False,0,False,1,True,False,False,39.0,False,False,False,True,3,False,False
True,1,False,False,False,7.8542,False,False,False,False,False,False,False,0,True,0,True,0,False,True,False,14.0,False,False,False,True,3,False,False
True,1,False,True,True,16.0,False,False,False,False,False,False,False,0,False,1,False,0,False,True,False,55.0,False,False,False,True,2,False,False
False,6,True,False,False,29.125,False,True,False,False,False,False,False,1,False,0,False,4,False,False,True,2.0,False,True,False,True,3,False,False
True,1,True,False,True,13.0,False,False,False,False,False,False,False,0,False,1,False,0,True,False,False,28.0,False,False,False,True,2,False,False
True,2,False,True,True,18.0,False,False,False,False,False,False,False,0,False,0,False,1,False,True,False,31.0,False,False,False,True,3,False,False
False,1,False,True,False,7.225,False,False,False,False,False,False,False,0,True,1,False,0,False,True,False,28.0,True,False,False,True,3,False,False
True,1,True,False,True,26.0,False,False,False,False,False,False,False,0,False,0,False,0,True,False,False,35.0,False,False,False,True,2,False,False
True,1,True,False,True,13.0,False,False,False,False,False,False,False,0,False,1,False,0,True,False,False,34.0,False,False,False,False,2,False,True
False,1,False,False,False,8.0292,False,False,False,False,False,False,False,0,True,1,True,0,False,True,True,15.0,False,False,False,True,3,False,False
True,1,True,False,False,35.5,False,True,False,False,False,False,False,0,False,1,False,0,True,False,False,28.0,False,False,True,False,1,False,False
True,5,False,False,True,21.075,False,False,False,False,False,False,False,1,False,0,True,3,False,True,False,8.0,False,False,False,True,3,False,False
True,7,False,True,False,31.3875,False,True,False,False,False,False,False,5,False,1,False,1,False,True,False,38.0,False,False,False,True,3,False,False
False,1,True,False,False,7.225,False,False,False,False,False,False,False,0,True,0,False,0,True,False,False,28.0,True,False,False,True,3,False,False
True,6,True,False,False,263.0,False,True,False,False,False,False,True,2,False,0,False,3,True,False,False,19.0,False,False,False,False,1,False,False
False,1,False,False,False,7.8792,False,False,False,False,False,False,False,0,True,1,True,0,False,True,True,28.0,False,False,False,True,3,False,False
True,1,True,False,False,7.8958,False,False,False,False,False,False,False,0,True,0,False,0,True,False,False,28.0,False,False,False,True,3,False,False
False,1,True,False,False,27.7208,False,True,False,False,False,False,False,0,False,0,False,0,False,False,False,40.0,True,False,False,True,1,True,False
False,2,False,True,False,146.5208,False,True,False,True,False,False,False,0,False,1,False,1,False,True,False,28.0,True,False,False,False,1,False,False
False,1,False,False,False,7.75,False,False,False,False,False,False,False,0,True,1,True,0,False,True,True,28.0,False,False,False,True,3,False,False
True,1,True,False,True,10.5,False,False,False,False,False,False,False,0,False,0,False,0,True,False,False,66.0,False,False,False,True,2,False,False
False,2,True,False,False,82.1708,False,True,False,False,False,False,False,0,False,0,False,1,True,False,False,28.0,True,False,False,True,1,False,False
True,2,True,False,False,52.0,False,True,False,False,False,False,False,0,False,0,False,1,True,False,False,42.0,False,False,False,True,1,False,False
False,1,True,False,False,7.2292,False,False,False,False,False,False,False,0,True,1,False,0,True,False,False,28.0,True,False,False,True,3,False,False
True,1,True,False,False,8.05,False,False,False,False,False,False,False,0,True,0,False,0,True,False,False,21.0,False,False,False,True,3,False,False
True,3,False,False,True,18.0,False,False,False,False,False,False,False,0,False,0,True,2,False,True,False,18.0,False,False,False,True,3,False,False
False,2,False,False,True,11.2417,False,False,False,False,False,False,False,0,False,1,True,1,False,True,False,14.0,True,False,False,True,3,False,False
